               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11931,            0.029091,            0.054561,                   0,                   0,                   0,                   0,            0.078921,            0.021362,            0.033875,              0.0982,              0.0002,              0.0002
                   1,             0.11718,            0.027923,            0.053354,                   0,                   0,                   0,                   0,            0.076064,            0.020569,            0.033459,            0.095475,          0.00047525,          0.00047525
                   2,             0.11638,            0.027868,            0.051408,           0.0017133,               0.375,            0.001577,          0.00028386,            0.071356,            0.019667,            0.033276,            0.092721,           0.0007208,           0.0007208
                   3,             0.10245,            0.027392,            0.048732,           0.0029053,                0.75,            0.054424,           0.0056276,            0.062984,            0.019463,            0.032568,            0.089937,          0.00093665,          0.00093665
                   4,            0.097025,            0.030122,            0.046854,           0.0012207,                 0.5,             0.12282,            0.020649,            0.057585,            0.018804,            0.032166,            0.087123,           0.0011228,           0.0011228
                   5,             0.08223,            0.027133,            0.039375,            0.001946,               0.625,            0.098087,            0.025476,            0.050694,            0.018685,            0.032727,            0.084279,           0.0012793,           0.0012793
                   6,            0.083992,            0.027733,            0.043228,           0.0031473,                0.75,            0.034658,            0.015129,            0.048489,            0.017823,              0.0328,            0.081406,            0.001406,            0.001406
                   7,            0.081176,            0.029175,            0.043276,           0.0044408,                   1,            0.024473,           0.0069192,            0.047785,            0.017544,            0.032593,            0.078503,           0.0015031,           0.0015031
                   8,            0.077378,            0.028646,            0.041381,           0.0042881,                   1,             0.16079,            0.027889,            0.045422,            0.016981,            0.031812,             0.07557,           0.0015704,           0.0015704
                   9,            0.073697,            0.030922,            0.041605,           0.0044616,                   1,             0.17331,            0.037693,             0.04378,            0.016889,            0.031653,            0.072608,           0.0016081,           0.0016081
                  10,             0.07795,            0.029132,            0.039097,           0.0040711,                   1,            0.071245,            0.022704,            0.041284,            0.016277,            0.031348,            0.069616,            0.001616,            0.001616
                  11,            0.068345,            0.031984,            0.041104,            0.004108,                   1,            0.087492,            0.029342,            0.040736,            0.015875,             0.03147,            0.066594,           0.0015943,           0.0015943
                  12,            0.070465,            0.029324,            0.038589,             0.00402,                   1,             0.13839,            0.049695,            0.041372,            0.015295,            0.031689,            0.063543,           0.0015428,           0.0015428
                  13,            0.060928,            0.032435,             0.03653,            0.003974,                   1,             0.11865,             0.04301,            0.040389,             0.01524,             0.03208,            0.060462,           0.0014616,           0.0014616
                  14,            0.062698,            0.025848,            0.038618,            0.003839,                   1,             0.11494,             0.05992,            0.040108,            0.014611,            0.032117,            0.057351,           0.0013508,           0.0013508
                  15,            0.062234,            0.024417,            0.037089,            0.003888,                   1,             0.10642,            0.060443,            0.040066,            0.014195,            0.032227,             0.05421,           0.0012102,           0.0012102
                  16,            0.060034,             0.02643,            0.037641,           0.0038615,                   1,             0.15699,            0.077009,            0.038789,            0.014055,            0.032397,             0.05104,             0.00104,             0.00104
                  17,            0.062234,             0.02509,            0.037934,           0.0038625,                   1,             0.23595,            0.080275,            0.037003,            0.014116,            0.032361,             0.04784,          0.00084005,          0.00084005
                  18,            0.057928,            0.026937,            0.033451,           0.0038314,                   1,             0.23507,            0.067448,            0.036602,            0.014025,            0.032397,             0.04461,           0.0006104,           0.0006104
                  19,            0.052849,            0.031581,            0.035219,           0.0038544,                   1,             0.25372,            0.074559,            0.036227,            0.013956,            0.032263,            0.041351,          0.00035105,          0.00035105
