               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13012,            0.007868,            0.050417,          0.00084324,                0.25,           0.0043073,          0.00086146,             0.12353,           0.0061768,            0.047864,              0.0982,              0.0002,              0.0002
                   1,             0.12708,           0.0079843,             0.05111,           0.0008259,                0.25,           0.0047396,          0.00094791,             0.12008,           0.0065431,            0.047485,            0.095496,          0.00049588,          0.00049588
                   2,             0.12473,           0.0088587,            0.048956,            0.001745,                 0.5,           0.0084692,           0.0018619,             0.11462,           0.0072095,            0.047119,            0.092787,           0.0007868,           0.0007868
                   3,             0.11863,           0.0093407,            0.049172,           0.0011381,               0.375,           0.0038895,           0.0006139,             0.10746,           0.0081404,            0.046667,            0.090073,           0.0010728,           0.0010728
                   4,             0.11644,            0.011383,            0.047096,          0.00072546,                0.25,           0.0021851,          0.00063147,             0.10163,           0.0088806,            0.046936,            0.087354,           0.0013538,           0.0013538
                   5,             0.11092,            0.011165,            0.046713,           0.0007298,                0.25,           0.0015439,          0.00048879,            0.099244,            0.009161,            0.047485,             0.08463,           0.0016299,           0.0016299
                   6,             0.10767,            0.012131,            0.044527,          0.00075697,                0.25,           0.0015458,          0.00015458,            0.096194,           0.0094283,            0.047388,            0.081901,            0.001901,            0.001901
                   7,              0.1056,            0.013051,            0.043663,          0.00067114,                0.25,          0.00069678,          0.00022409,            0.092228,            0.009675,            0.046606,            0.079167,           0.0021672,           0.0021672
                   8,             0.10411,            0.012892,              0.0418,           0.0019056,               0.625,           0.0027923,          0.00069522,            0.087248,            0.010152,            0.046899,            0.076428,           0.0024284,           0.0024284
                   9,            0.098362,            0.015492,             0.04114,           0.0024684,                0.75,           0.0049432,            0.001513,            0.085157,             0.01037,            0.047119,            0.073685,           0.0026847,           0.0026847
                  10,             0.10174,            0.012932,            0.042807,           0.0028886,               0.875,            0.007196,           0.0032434,            0.083889,            0.010509,            0.047717,            0.070936,            0.002936,            0.002936
                  11,              0.1001,            0.015092,            0.039401,           0.0034353,                   1,            0.009562,           0.0037248,            0.083393,            0.010488,            0.047986,            0.068182,           0.0031824,           0.0031824
                  12,            0.095252,            0.014259,            0.038444,           0.0035069,                   1,             0.01507,           0.0059961,             0.08339,            0.010249,            0.048682,            0.065424,           0.0034238,           0.0034238
                  13,            0.094304,            0.016155,            0.036809,           0.0025816,                0.75,            0.017317,           0.0089765,             0.07971,            0.010464,            0.049036,             0.06266,           0.0036603,           0.0036603
                  14,            0.094625,            0.012255,            0.037811,           0.0026893,                0.75,            0.033077,            0.015791,            0.080778,            0.010273,            0.049902,            0.059892,           0.0038918,           0.0038918
                  15,            0.087955,              0.0138,            0.039235,           0.0035499,                   1,            0.051566,            0.029282,            0.077096,            0.010542,            0.050415,            0.057118,           0.0041184,           0.0041184
                  16,            0.084122,            0.014916,            0.037335,           0.0030709,               0.875,            0.053515,            0.028089,            0.073287,            0.011034,            0.050647,             0.05434,             0.00434,             0.00434
                  17,            0.079069,            0.016044,            0.035183,           0.0035777,                   1,            0.042782,            0.022031,            0.066866,            0.011522,            0.050671,            0.051557,           0.0045567,           0.0045567
                  18,            0.076936,            0.014942,            0.035206,           0.0031467,               0.875,            0.050905,            0.026556,            0.066082,            0.011533,            0.051501,            0.048768,           0.0047684,           0.0047684
                  19,            0.076956,            0.020574,            0.034848,           0.0031093,               0.875,            0.025542,           0.0096762,            0.075527,            0.010466,            0.052307,            0.045975,           0.0049752,           0.0049752
                  20,              0.0729,            0.016292,            0.033665,           0.0032528,               0.875,            0.055207,            0.024472,            0.062605,             0.01155,            0.052856,            0.043177,            0.005177,            0.005177
                  21,            0.080713,            0.016164,            0.033127,           0.0033045,               0.875,             0.02013,           0.0070538,            0.072356,            0.010533,            0.054565,            0.040374,           0.0053739,           0.0053739
                  22,            0.074512,            0.017669,            0.033234,           0.0033021,               0.875,            0.030175,            0.014779,            0.061667,            0.011499,            0.055933,            0.037566,           0.0055658,           0.0055658
                  23,            0.069437,            0.017336,            0.031168,           0.0032459,               0.875,             0.03516,            0.021354,            0.071534,            0.010346,            0.056592,            0.034753,           0.0057528,           0.0057528
                  24,            0.071938,            0.018515,            0.028349,             0.00374,                   1,             0.12044,            0.054087,            0.059724,            0.011428,            0.058472,            0.031935,           0.0059348,           0.0059348
                  25,            0.066324,            0.013098,            0.028498,           0.0037337,                   1,            0.049815,            0.029895,            0.062665,            0.010825,             0.06095,            0.029112,           0.0061119,           0.0061119
                  26,            0.068327,            0.019096,            0.029805,           0.0035318,                   1,            0.096257,            0.062406,            0.056043,            0.011561,            0.064209,            0.026284,            0.006284,            0.006284
                  27,             0.06599,            0.015601,            0.028638,            0.029039,                0.25,            0.082637,             0.06643,            0.067031,            0.010099,             0.06886,            0.023451,           0.0064512,           0.0064512
                  28,            0.063259,            0.018074,             0.02587,            0.029039,                0.25,            0.082637,             0.06643,            0.067031,            0.010099,             0.06886,            0.020613,           0.0066134,           0.0066134
                  29,             0.06292,            0.015949,            0.025592,            0.030507,                0.25,             0.10666,            0.070911,            0.058015,            0.010737,            0.070898,            0.017771,           0.0067707,           0.0067707
                  30,            0.068711,            0.016047,            0.026693,            0.022406,                0.25,            0.054308,            0.027003,            0.072168,           0.0098114,            0.073755,            0.014923,            0.006923,            0.006923
                  31,             0.06633,            0.015835,            0.026608,             0.27855,               0.125,             0.13448,            0.058975,            0.063316,            0.010096,             0.07738,             0.01207,           0.0070704,           0.0070704
                  32,            0.070047,            0.014948,            0.023127,             0.27855,               0.125,             0.13448,            0.058975,            0.063316,            0.010096,             0.07738,           0.0092128,           0.0072128,           0.0072128
                  33,            0.059789,            0.016835,            0.025594,           0.0034755,                   1,             0.14122,            0.044554,            0.065536,           0.0097834,            0.078479,           0.0072775,           0.0072775,           0.0072775
                  34,            0.063462,            0.015917,            0.025837,            0.014007,               0.875,             0.17046,            0.061341,            0.059896,           0.0099273,             0.07865,           0.0072775,           0.0072775,           0.0072775
                  35,             0.06506,            0.017109,            0.023429,            0.094117,               0.625,             0.11436,            0.064017,            0.059778,             0.00966,            0.081177,            0.007195,            0.007195,            0.007195
                  36,             0.06061,            0.016192,            0.023164,            0.094117,               0.625,             0.11436,            0.064017,            0.059778,             0.00966,            0.081177,           0.0071125,           0.0071125,           0.0071125
                  37,            0.054535,            0.017288,            0.021041,            0.055031,             0.33242,             0.15254,            0.049713,            0.054869,           0.0099498,            0.082446,             0.00703,             0.00703,             0.00703
                  38,            0.058813,            0.015399,            0.022983,            0.065943,             0.45226,              0.1703,             0.05279,            0.053331,            0.010081,            0.080823,           0.0069475,           0.0069475,           0.0069475
                  39,            0.059472,            0.014999,            0.025663,            0.027327,                 0.5,            0.063648,             0.02138,            0.071112,           0.0087086,            0.082776,            0.006865,            0.006865,            0.006865
                  40,            0.070429,            0.013386,            0.024734,            0.027327,                 0.5,            0.063648,             0.02138,            0.071112,           0.0087086,            0.082776,           0.0067825,           0.0067825,           0.0067825
                  41,            0.057304,            0.014396,            0.022259,            0.056069,             0.42011,             0.10739,            0.050257,            0.049551,            0.010176,             0.08374,              0.0067,              0.0067,              0.0067
                  42,            0.052754,            0.015651,            0.021864,            0.092616,             0.47113,              0.1744,            0.067872,            0.060036,           0.0092843,            0.085022,           0.0066175,           0.0066175,           0.0066175
                  43,            0.060666,            0.015622,            0.022693,            0.081325,             0.54711,             0.14515,            0.072286,            0.057364,           0.0095853,            0.084766,            0.006535,            0.006535,            0.006535
                  44,            0.053995,            0.013003,            0.020252,            0.081325,             0.54711,             0.14515,            0.072286,            0.057364,           0.0095853,            0.084766,           0.0064525,           0.0064525,           0.0064525
                  45,            0.054745,            0.015223,             0.02245,            0.081599,             0.65037,             0.17215,            0.067769,             0.05208,            0.010002,            0.085022,             0.00637,             0.00637,             0.00637
                  46,            0.054788,            0.015214,            0.020635,             0.04835,               0.375,             0.13869,            0.073602,            0.054978,           0.0092488,            0.086658,           0.0062875,           0.0062875,           0.0062875
                  47,            0.058509,            0.014565,            0.020552,             0.07278,               0.375,             0.14246,            0.081906,            0.050065,           0.0096451,            0.086951,            0.006205,            0.006205,            0.006205
                  48,            0.052886,             0.01325,            0.017374,             0.07278,               0.375,             0.14246,            0.081906,            0.050065,           0.0096451,            0.086951,           0.0061225,           0.0061225,           0.0061225
                  49,            0.047228,            0.014112,            0.018007,            0.079722,                0.25,             0.13827,            0.072315,            0.048064,           0.0097628,             0.08833,             0.00604,             0.00604,             0.00604
                  50,            0.052578,            0.013762,            0.016871,             0.04189,                0.25,            0.094581,             0.05646,            0.060559,           0.0083441,            0.089307,           0.0059575,           0.0059575,           0.0059575
                  51,            0.060036,            0.012814,            0.018112,             0.14515,             0.23365,             0.15385,            0.076539,             0.05314,           0.0089853,            0.092017,            0.005875,            0.005875,            0.005875
                  52,            0.050533,             0.01493,            0.017785,             0.14515,             0.23365,             0.15385,            0.076539,             0.05314,           0.0089853,            0.092017,           0.0057925,           0.0057925,           0.0057925
                  53,            0.049492,            0.013954,            0.017557,             0.11302,               0.125,             0.14659,            0.077479,            0.044983,           0.0092039,            0.094507,             0.00571,             0.00571,             0.00571
                  54,            0.051865,            0.013698,            0.018754,            0.075451,             0.11318,            0.091987,            0.043372,            0.058934,           0.0083647,            0.096777,           0.0056275,           0.0056275,           0.0056275
                  55,            0.060614,            0.011916,            0.018626,            0.047872,                0.25,            0.094535,            0.055562,            0.051004,           0.0087441,            0.099414,            0.005545,            0.005545,            0.005545
                  56,            0.049445,            0.014354,            0.018079,            0.047872,                0.25,            0.094535,            0.055562,            0.051004,           0.0087441,            0.099414,           0.0054625,           0.0054625,           0.0054625
                  57,            0.057538,            0.011754,            0.012849,            0.039463,               0.375,            0.071998,            0.044485,            0.051928,           0.0084226,             0.10005,             0.00538,             0.00538,             0.00538
                  58,            0.054419,            0.010297,            0.014225,            0.037629,             0.33349,            0.073716,              0.0409,            0.048108,           0.0087292,             0.10054,           0.0052975,           0.0052975,           0.0052975
                  59,            0.054814,            0.011582,            0.015753,            0.039028,                 0.5,            0.073094,            0.045924,            0.046458,           0.0083983,            0.099927,            0.005215,            0.005215,            0.005215
                  60,            0.048253,            0.012319,            0.015229,            0.039028,                 0.5,            0.073094,            0.045924,            0.046458,           0.0083983,            0.099927,           0.0051325,           0.0051325,           0.0051325
                  61,            0.046112,            0.010366,             0.01565,            0.048079,             0.53345,            0.074612,            0.041802,            0.042014,           0.0085516,                 0.1,             0.00505,             0.00505,             0.00505
                  62,            0.047577,            0.011774,             0.01234,            0.039473,                 0.5,            0.059517,            0.031519,            0.045917,           0.0082862,             0.10017,           0.0049675,           0.0049675,           0.0049675
                  63,            0.049175,            0.011269,            0.016178,             0.05123,                 0.5,            0.074874,            0.038976,            0.041346,           0.0083946,            0.099756,            0.004885,            0.004885,            0.004885
                  64,            0.043796,            0.013354,            0.013191,             0.05123,                 0.5,            0.074874,            0.038976,            0.041346,           0.0083946,            0.099756,           0.0048025,           0.0048025,           0.0048025
                  65,            0.042007,             0.01255,            0.018372,            0.046572,                 0.5,            0.081265,            0.037352,            0.045573,           0.0080189,                 0.1,             0.00472,             0.00472,             0.00472
                  66,            0.045969,            0.011869,            0.011511,            0.051048,             0.60133,            0.088359,             0.05717,            0.038487,           0.0082376,              0.1011,           0.0046375,           0.0046375,           0.0046375
                  67,            0.049175,            0.011324,            0.013147,            0.059672,               0.625,             0.10078,            0.053388,            0.041181,           0.0081441,             0.10103,            0.004555,            0.004555,            0.004555
                  68,            0.044224,            0.012286,            0.012683,            0.059672,               0.625,             0.10078,            0.053388,            0.041181,           0.0081441,             0.10103,           0.0044725,           0.0044725,           0.0044725
                  69,            0.039512,            0.012845,            0.011096,            0.055188,               0.625,            0.095193,            0.052903,            0.038027,           0.0080768,             0.10176,             0.00439,             0.00439,             0.00439
                  70,            0.040598,            0.013185,            0.012159,            0.063044,               0.625,             0.12272,            0.060106,            0.037946,           0.0080787,             0.10378,           0.0043075,           0.0043075,           0.0043075
                  71,            0.041178,            0.012274,            0.014646,            0.059428,               0.625,            0.095223,            0.064198,            0.040956,           0.0078693,             0.10547,            0.004225,            0.004225,            0.004225
                  72,            0.041689,              0.0109,           0.0099061,            0.059428,               0.625,            0.095223,            0.064198,            0.040956,           0.0078693,             0.10547,           0.0041425,           0.0041425,           0.0041425
                  73,            0.040987,            0.012828,            0.011298,            0.070096,               0.625,             0.12264,            0.077879,            0.038399,           0.0077385,             0.10667,             0.00406,             0.00406,             0.00406
                  74,            0.042693,            0.010693,            0.010278,             0.05547,             0.58384,             0.10035,            0.052403,            0.042447,           0.0078338,             0.10833,           0.0039775,           0.0039775,           0.0039775
                  75,            0.044599,           0.0087819,            0.011078,            0.056153,               0.625,             0.12116,            0.061443,            0.037964,           0.0078376,             0.10833,            0.003895,            0.003895,            0.003895
                  76,            0.040674,            0.010056,            0.011047,            0.056153,               0.625,             0.12116,            0.061443,            0.037964,           0.0078376,             0.10833,           0.0038125,           0.0038125,           0.0038125
                  77,            0.040708,            0.012882,            0.010526,            0.053551,               0.625,             0.11327,            0.065455,            0.037504,           0.0077796,              0.1092,             0.00373,             0.00373,             0.00373
                  78,            0.037963,             0.01075,             0.01064,            0.068889,             0.78528,             0.12184,            0.073252,             0.03611,           0.0077497,             0.10925,           0.0036475,           0.0036475,           0.0036475
                  79,            0.038701,            0.010508,            0.013078,            0.063002,               0.625,             0.10515,             0.06048,            0.037733,           0.0077273,             0.10984,            0.003565,            0.003565,            0.003565
                  80,            0.038859,           0.0094761,           0.0099447,            0.063002,               0.625,             0.10515,             0.06048,            0.037733,           0.0077273,             0.10984,           0.0034825,           0.0034825,           0.0034825
                  81,            0.037324,            0.010493,            0.011602,            0.071951,               0.875,             0.12574,            0.070922,            0.034997,           0.0077591,             0.11038,              0.0034,              0.0034,              0.0034
                  82,            0.037053,            0.010445,           0.0097984,            0.066088,                0.75,             0.13695,            0.081543,            0.033015,           0.0077273,             0.11174,           0.0033175,           0.0033175,           0.0033175
                  83,            0.037755,            0.010344,            0.012776,            0.064767,               0.875,             0.14041,            0.082761,            0.031965,           0.0076862,             0.11216,            0.003235,            0.003235,            0.003235
                  84,            0.037379,            0.012695,            0.011399,            0.064767,               0.875,             0.14041,            0.082761,            0.031965,           0.0076862,             0.11216,           0.0031525,           0.0031525,           0.0031525
                  85,            0.034533,            0.011587,           0.0091707,            0.060371,               0.875,             0.13357,             0.07358,             0.03198,           0.0075731,             0.11226,             0.00307,             0.00307,             0.00307
                  86,            0.034701,            0.011605,           0.0094303,            0.063761,                   1,             0.11685,            0.068759,            0.036423,            0.007331,             0.11223,           0.0029875,           0.0029875,           0.0029875
                  87,            0.039535,            0.010542,           0.0086286,            0.065706,               0.875,             0.12098,            0.063943,            0.033383,           0.0074609,              0.1126,            0.002905,            0.002905,            0.002905
                  88,            0.035176,            0.010906,           0.0076518,            0.065706,               0.875,             0.12098,            0.063943,            0.033383,           0.0074609,              0.1126,           0.0028225,           0.0028225,           0.0028225
                  89,            0.034165,           0.0095419,           0.0085654,            0.055217,                   1,             0.11283,            0.069872,            0.033435,           0.0072833,              0.1124,             0.00274,             0.00274,             0.00274
                  90,             0.03628,            0.012033,           0.0076713,            0.053133,                   1,             0.12009,            0.074223,            0.033065,           0.0072609,             0.11182,           0.0026575,           0.0026575,           0.0026575
                  91,            0.034862,            0.011109,           0.0085575,            0.040247,                   1,             0.11195,            0.066232,            0.033102,           0.0073133,             0.11221,            0.002575,            0.002575,            0.002575
                  92,            0.035318,            0.010903,           0.0085884,            0.040247,                   1,             0.11195,            0.066232,            0.033102,           0.0073133,             0.11221,           0.0024925,           0.0024925,           0.0024925
                  93,            0.033736,            0.010961,            0.007766,            0.042716,                   1,             0.11613,            0.073449,            0.031668,           0.0072469,             0.11245,             0.00241,             0.00241,             0.00241
                  94,            0.034186,            0.010147,           0.0088136,            0.057261,                   1,             0.13498,            0.088168,            0.033994,           0.0071703,             0.11226,           0.0023275,           0.0023275,           0.0023275
                  95,            0.035687,             0.01018,           0.0096082,            0.060323,                   1,             0.12489,            0.093403,            0.030185,           0.0072161,             0.11277,            0.002245,            0.002245,            0.002245
                  96,            0.033618,            0.010319,            0.010012,            0.060323,                   1,             0.12489,            0.093403,            0.030185,           0.0072161,             0.11277,           0.0021625,           0.0021625,           0.0021625
                  97,            0.029866,           0.0095409,           0.0077203,            0.069758,               0.875,              0.1225,            0.093313,            0.028914,           0.0072217,             0.11292,             0.00208,             0.00208,             0.00208
                  98,            0.029147,            0.010191,           0.0081983,            0.082002,               0.875,             0.13767,            0.095839,            0.032303,           0.0071086,             0.11331,           0.0019975,           0.0019975,           0.0019975
                  99,             0.03404,            0.010742,           0.0070928,            0.079712,               0.875,             0.13135,            0.091402,            0.028553,           0.0071609,             0.11379,            0.001915,            0.001915,            0.001915
                 100,            0.031442,            0.010364,           0.0093524,            0.079712,               0.875,             0.13135,            0.091402,            0.028553,           0.0071609,             0.11379,           0.0018325,           0.0018325,           0.0018325
                 101,            0.030354,           0.0099703,            0.007962,            0.076396,               0.875,              0.1349,             0.10326,            0.028234,           0.0070889,             0.11401,             0.00175,             0.00175,             0.00175
                 102,            0.029316,           0.0091238,           0.0060495,            0.077701,             0.94975,             0.13889,            0.098134,            0.029637,           0.0070422,             0.11438,           0.0016675,           0.0016675,           0.0016675
                 103,            0.032738,            0.011079,           0.0078624,            0.074586,               0.875,             0.14083,              0.1067,            0.026677,           0.0070768,             0.11487,            0.001585,            0.001585,            0.001585
                 104,            0.027768,              0.0105,           0.0065561,            0.074586,               0.875,             0.14083,              0.1067,            0.026677,           0.0070768,             0.11487,           0.0015025,           0.0015025,           0.0015025
                 105,            0.029742,            0.010453,           0.0066883,            0.078809,             0.94757,             0.14838,             0.11013,            0.026837,           0.0070469,             0.11494,             0.00142,             0.00142,             0.00142
                 106,            0.032858,            0.009263,           0.0069547,            0.071553,                   1,             0.13706,             0.10042,            0.025654,           0.0070731,             0.11506,           0.0013375,           0.0013375,           0.0013375
                 107,            0.030107,            0.010198,           0.0074718,            0.090948,               0.875,             0.13125,             0.10403,            0.024743,           0.0070628,             0.11531,            0.001255,            0.001255,            0.001255
                 108,            0.027741,            0.010732,           0.0074488,            0.090948,               0.875,             0.13125,             0.10403,            0.024743,           0.0070628,             0.11531,           0.0011725,           0.0011725,           0.0011725
                 109,             0.02996,           0.0095834,           0.0073502,            0.092478,               0.875,             0.13616,             0.10255,            0.024714,           0.0070665,              0.1156,             0.00109,             0.00109,             0.00109
                 110,            0.030232,           0.0089719,           0.0090548,            0.094652,               0.875,             0.13573,             0.10899,            0.024334,           0.0070123,             0.11587,           0.0010075,           0.0010075,           0.0010075
                 111,            0.026222,           0.0098076,           0.0096094,            0.093629,                0.75,             0.13826,              0.1086,            0.023901,           0.0069712,              0.1166,            0.000925,            0.000925,            0.000925
                 112,            0.028766,           0.0089327,           0.0076991,            0.093629,                0.75,             0.13826,              0.1086,            0.023901,           0.0069712,              0.1166,           0.0008425,           0.0008425,           0.0008425
                 113,            0.026994,           0.0099285,           0.0069935,            0.083839,             0.61065,             0.13254,             0.10093,            0.023729,           0.0069469,             0.11726,             0.00076,             0.00076,             0.00076
                 114,            0.027954,            0.010414,           0.0070963,             0.07686,               0.875,             0.12925,             0.10114,            0.023078,             0.00696,             0.11782,           0.0006775,           0.0006775,           0.0006775
                 115,            0.025339,           0.0097083,           0.0065383,             0.07412,                   1,             0.12835,              0.1034,            0.022583,           0.0069646,             0.11838,            0.000595,            0.000595,            0.000595
                 116,            0.025848,            0.011718,           0.0072573,             0.07412,                   1,             0.12835,              0.1034,            0.022583,           0.0069646,             0.11838,           0.0005125,           0.0005125,           0.0005125
                 117,            0.026991,            0.007891,           0.0080634,             0.07291,                   1,             0.12794,             0.10044,            0.022496,           0.0069581,             0.11897,             0.00043,             0.00043,             0.00043
                 118,            0.025452,           0.0093788,           0.0063112,            0.082118,                   1,              0.1281,             0.10006,            0.022426,           0.0069385,             0.11958,           0.0003475,           0.0003475,           0.0003475
                 119,            0.024897,            0.011041,           0.0070828,             0.08053,                   1,             0.12481,             0.09993,            0.022186,           0.0069319,             0.11973,            0.000265,            0.000265,            0.000265
