               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026189,           0.0055618,           0.0033163,             0.98281,                   1,               0.995,             0.76579,            0.021641,           0.0029108,           0.0021301,           0.0071125,           0.0071125,           0.0071125
                  37,            0.025834,           0.0053249,           0.0032265,             0.98526,                   1,               0.995,             0.74275,             0.02198,           0.0029748,           0.0024555,             0.00703,             0.00703,             0.00703
                  38,            0.024074,           0.0052373,           0.0036052,             0.97191,             0.99361,               0.995,             0.72637,            0.023758,           0.0029585,           0.0030846,           0.0069475,           0.0069475,           0.0069475
                  39,            0.025127,           0.0053355,              0.0041,             0.97821,                   1,               0.995,             0.68415,             0.02465,           0.0030272,           0.0024849,            0.006865,            0.006865,            0.006865
                  40,            0.025378,           0.0052325,           0.0029795,             0.97677,                   1,               0.995,             0.72122,            0.022223,           0.0028917,           0.0022552,           0.0067825,           0.0067825,           0.0067825
                  41,            0.024814,            0.005599,           0.0028831,             0.98194,                   1,               0.995,             0.78328,            0.022125,           0.0027804,           0.0020939,              0.0067,              0.0067,              0.0067
                  42,            0.023399,           0.0050959,           0.0034627,             0.98495,                   1,               0.995,             0.77441,             0.02241,           0.0027804,            0.001956,           0.0066175,           0.0066175,           0.0066175
                  43,            0.023935,           0.0054107,            0.002869,             0.96125,                   1,               0.995,             0.75638,            0.023479,           0.0027767,            0.001881,            0.006535,            0.006535,            0.006535
                  44,            0.024051,           0.0050607,           0.0024837,             0.98515,                   1,               0.995,             0.77538,            0.020583,           0.0027991,           0.0019321,           0.0064525,           0.0064525,           0.0064525
                  45,            0.023745,           0.0054273,           0.0036432,             0.98915,                   1,               0.995,             0.80645,            0.020195,           0.0028463,           0.0020336,             0.00637,             0.00637,             0.00637
